id,WMA,trt,sample_date,common_name,status,habitat,genus,species,count
1,Melbye WMA,Experimental,10-Jun-2016,Eastern Screech-Owl,,deciduous forest,Megascops,asio,3
1,Melbye WMA,Experimental,10-Jun-2016,Bobolink,sgcn,open upland,Dolichonyx,oryzivorus,8
1,Melbye WMA,Experimental,10-Jun-2016,Eastern Whip-poor-will,sgcn,mixed forest,Antrostomus,vociferus,12
1,Melbye WMA,Experimental,10-Jun-2016,Double-crested Cormorant,,wetland,Phalacrocorax,auritus,0
1,Melbye WMA,Experimental,10-Jun-2016,Blackburnian Warbler,,coniferous forest,Setophaga,fusca,14
1,Melbye WMA,Experimental,10-Jun-2016,Northern Rough-winged Swallow,sgcn,fragmented,Stelgidopteryx,serripennis,6
1,Melbye WMA,Experimental,10-Jun-2016,Least Bittern,sgcn,wetland,Ixobrychus,exilis,10
1,Melbye WMA,Experimental,10-Jun-2016,Chipping Sparrow,,coniferous forest,Spizella,passerina,17
1,Melbye WMA,Experimental,10-Jun-2016,Lark Bunting,,open upland,Calamospiza,melanocorys,7
1,Melbye WMA,Experimental,10-Jun-2016,Ruddy Duck,,wetland,Oxyura,jamaicensis,8
1,Melbye WMA,Experimental,10-Jun-2016,American Coot,,wetland,Fulica,americana,24
2,Ogema Springs WMA,Experimental,2-Jun-2016,Red-necked Grebe,sgcn,wetland,Podiceps,grisegena,19
2,Ogema Springs WMA,Experimental,2-Jun-2016,Tree Swallow,,fragmented,Tachycineta,bicolor,2
2,Ogema Springs WMA,Experimental,2-Jun-2016,Rock Wren,,open upland,Salpinctes,obsoletus,5
2,Ogema Springs WMA,Experimental,2-Jun-2016,Rock Pigeon,,fragmented,Columba,livia,7
2,Ogema Springs WMA,Experimental,2-Jun-2016,Bell's Vireo,SPC,fragmented,Vireo,bellii,14
2,Ogema Springs WMA,Experimental,2-Jun-2016,Canada Goose,,wetland,Branta,canadensis,11
2,Ogema Springs WMA,Experimental,2-Jun-2016,Alder Flycatcher,,fragmented,Empidonax,alnorum,7
2,Ogema Springs WMA,Experimental,2-Jun-2016,Swainson's Thrush,,coniferous forest,Catharus,ustulatus,15
2,Ogema Springs WMA,Experimental,2-Jun-2016,Herring Gull,,wetland,Larus,argentatus,11
